Name rus, Name eng,DOB,Gender,Description,Tag
Гильмутдинов Владислав Анизович,Gilmutdinov Vladislav Anizovich,,male,"Forensic investigator of the Forensic Department of the Investigative Directorate of the Investigative Committee of the Russian Federation in the Arkhangelsk Oblast and the Nenets Autonomous Okrug. Involved in the unlawful criminal prosecution of Yury Zhdanov, father of ACF director Ivan Zhdanov","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гильмутдинова Ирая Кимовна,Gilmutdinova Iraya Kimovna,16.10.1966,female,"Wife of Golochapov K.V. ""masseur"". Engaged in business.","Individuals involved in corruption
Investigations subjects"
Гильмутдинова Светлана Анизовна,Gilmutdinova Svetlana Anizovna,,female,"Prosecutor of the Arkhangelsk Oblast Prosecutor's Office. Involved in the unlawful criminal prosecution of Yuri Zhdanov, father of ACF director Ivan Zhdanov","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гималтдинов Фирдус Салихович,Gimaltdinov Firdus Salikhovich,-,Male,"Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""TATARSTAN"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Гимбатов Андрей Петрович,Gimbatov Andrey Petrovich,19.07.1979,male,"Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.

Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Members of Parliament and Senate
State Duma

United Russia” party Functionaries 
Federal and regional party leaders"
Гиндин Диана Львовна,Gindin Diana Lvovna,,female,"Businesswoman; wife of State Duma deputy Vladislav Reznik. Was involved in and financially benefitted from corruption schemes designed to provide corrupt sources of income to politicians and government officials and their families. Linked to the Tambov Organized Crime Group and its leader Gennadiy Petrov. Owns shares and interests in several Russian companies, as well as land and real estate in Russia, Spain, and the United States. Holds US citizenship.",Individuals involved in corruption Investigations subjects
Гиревой Илья Александрович,Girevoy Ilya Alexandrovich,09.06.1987,male,"Former FSB officer.  Involved in corruption schemes of PJSC Gazprom and its subsidiaries. Director of AO Promenergo, under which luxury properties in the Leningrad Oblast are registered for the benefit of Mikhail Miller, Yury Gorokh, Pavel Nikolaev, Sergey Kupriyanov and other top Gazprom executives. Works for OOO Gross Group D, which manages all of Miller's properties",Individuals involved in corruption Investigations subjects
Гищенко Павел Иванович,Gishchenko Pavel Ivanovich,02.07.1976,male,"Head of the Directorate of the Ministry of Interior of Russia for the city of Sevastopol, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Ministry of Internal Affairs"
Гивель Владимир Романович,Givel Vladimir Romanovich,,male,Investigator for Particularly important cases of the second investigative department of the first department for the investigation of Particularly important cases (on crimes against the person and public safety) of the Main Investigative Directorate of the Investigative Committee of the Russian Federation for Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гизятуллин Джалиль Ахмет-Джамилевич,Giziatullin Dzhalil Akhmet-Dzhamilevich,04.12.1969,male,Entrepreneur and participant in a cartel conspiracy to protect public order,Regional investigations subjects
Гладких Борис Михайлович,Gladkikh Boris Mikhailovich,16.02.1983,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Гладких Татьяна Валерьевна,Gladkikh Tatiana Valerievna,12.10.1964,female,Chairman of the Electoral Commission of the Primorsky Krai. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Гладков А. О.,Gladkov A. O.,,male,Assistant Prosecutor of the Central District of Kaliningrad. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гладков Вячеслав Владимирович,Gladkov Vyacheslav Vladimirovich ,15.01.1969,male,"Governor of Belgorod Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the General Council and Secretary of the Belgorod Regional Branch of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors

United Russia” party Functionaries 
Federal and regional party leaders"
Гладский Дмитрий Глебович,Gladsky Dmitry Glebovich,09.03.1969,male,"Deputy Governor of the Belgorod Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Глаголев Евгений Сергеевич,Glagolev Evgenii Sergeevich,04.06.1985,male,Former Deputy Governor of the Belgorod Oblast for Construction. Organizer of cartel conspiracies,Regional investigations subjects
Глаголев Сергей Владимирович,Glagolev Sergey Vladimirovich,17.10.1979,Male,"Deputy Minister of Health of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Глаголев Сергей Николаевич,Glagolyov Sergey Nikolaevich,16.11.1959,male,Rector of the Belgorod State Technological University named after V.G. Shukhov. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Глазьев Сергей Юрьевич,Glaziev Sergey Yurievich,01.01.1961,male,"Member of the Izborsk Club, which unites the ideologists of modern Russian authoritarianism and the war in Ukraine","Warmongers
Ideologists of war"
Глазков Михаил Николаевич,Glazkov Mikhail Nikolaevich,18.01.1970,male,"Deputy Governor of Vologda Oblast . Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Глазкова Анжелика Егоровна,Glazkova Angelica Egorovna,28.12.1968,female,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Глазкова Екатерина Игоревна ,Glazkova Ekaterina Igorevna,,Female,"Editor-in-Chief of the newspaper ""Orlovskaia gorodskaia gazeta"" (owned by the local government of the Orel city)","Propagandists
Regional press"
Глебова Любовь Николаевна,Glebova Lyubov Nikolaevna,07.03.1960,female,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Глинянов Александр Сергеевич,Glinianov Aleksandr Sergeevich,14.03.1964,male,"Chairman of the Sports Committee of the Volgograd Oblast, lobbies for a family business, value of property exceeds earnings",Regional investigations subjects
Глотов Владимир Иванович,Glotov Vladimir Ivanovich,10.12.1955,Male,"Deputy Director of the Federal Service for Financial Monitoring of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Глотова Юнона Константиновна,Glotova Yunona Konstantinovna,25.02.1988,female,"Daughter-in-law of Keosayan Tigran, executive producer of ""International Sawmill"".","Individuals involved in corruption
Investigations subjects"
Глубокая Оксана Валентиновна,Glubokaia Oksana Valentinovna,,Female,"Editor-in-Chief of the newspaper ""Murmanskii vestnik"" (owned by the government of the Murman region)","Propagandists
Regional press"
Глухов Александр Витальевич,Glukhov Alexander Vitalievich,,male,Judge of the Babushkinsky District Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Глухов Иван Алексеевич,Glukhov Ivan Alekseevich,,male,"Former head of the Main Investigation Department of the Main Directorate of the Ministry of Internal Affairs of Russia for Moscow. Involved in the ""Magnitsky case""","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Глухов П. К.,Glukhov P.K.,,male,Investigator for Particularly important cases of the second department for investigating Particularly important cases (on crimes against state power and in the sphere of the economy) of the Investigation Department of the Investigative Committee of the Russian Federation for the Udmurt Republic. Involved in the fabrication of the “FBK case”,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Глуховской М. А.,Glukhovskoy M. A.,,male,"Police lieutenant, commander of the special-purpose operational platoon of the 5th OMON operational battalion of the Main Directorate of the Russian Guard in Moscow. He beat Navalny's headquarters employee Alexander Turovsky for refusing to show his passport","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Глуховский Игорь Викторович ,Glukhovsky Igor Viktorovich,–,male,"Member of the Russian Union of Journalists, editor-in-chief of the information and analytical periodical, The Russian Reporter. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Глушач Д. В.,Glushach D. V.,,male,"Investigator of the 12th department of the SC for the ROPD of the Main Investigative Directorate of the Main Directorate of the Ministry of Internal Affairs of Russia for the city of Moscow, Captain of Justice. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Глушко Дмитрий Евгеньевич,Glushko Dmitry Yevgenyevich,05.05.1975,male,Rector of the N.P. Ogarev National Research Mordovian State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Глушкова Елена Михайловна,Glushkova Elena Mikhailovna,08.02.1982,female,"Notary, daughter of the former head of Rosreestr in the Sverdlovsk Oblast, which allowed her to illegally build a house, seizing state land",Regional investigations subjects
Глыбочко Петр Витальевич,Glybochko Pyotr Vitalyevich,21.07.1964,male,"Rector of the Sechenov First Moscow State Medical University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.

Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Warmongers
Educators

Putin’s Public Supporters
Presidential proxies in elections"
Гнедкова Ольга Эдуардовна,Gnedkova Olga Eduardovna,,female,Head of the Corporate Finance Department of PJSC Russian Railways  (PAO RZhD),Top Management of State Owned Companies
Гнеушев Андрей Николаевич,Gneushev Andrey Nikolaevich,24.01.1979,male,"Deputy Governor of the Nizhny Novgorod Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Гочияев Борис Хаджи-Ахматович,Gochiyaev Boris Khadzhi-Akhmatovich,01.01.1949,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Гогин Дмитрий Юрьевич,Gogin Dmitry Yurievich,23.08.1961,Male,"Head of the Federal Agency for State Reserves of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Гоголев Дмитрий Владимирович,Gogolev Dmitry Vladimirovich,22.11.1981,Male,"Deputy Head of the Federal Accreditation Service of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Гоголева Ирина Ивановна,Gogoleva Irina Ivanovna,-,Female,"
Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""SAHA"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Гогова Мадина Сергеевна,Gogova Madina Sergeevna,30.04.1986,female,"Deputy Chairman of the government Karachay-Cherkess Republic. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Гольдман Гарри Митевич,Goldman Garri Mitevich,15.09.1979,male,"Businessman, former Deputy Gead of the Government of the Kaliningrad Oblast, lobbied for the family business",Regional investigations subjects
Гольдман Леонид Маркович,Goldman Leonid Markovich,27.12.1987,male,"Ludmila Nikolaevna Moiseyeva, a pensioner, received 29 million rubles from the accounts of Simonyan's companies. She is the mother-in-law of Leonid Goldman, deputy head of the Russian-language directorate of the RT television channel","Individuals involved in corruption
Investigations subjects"
Голдобин Игорь Валерьевич,Goldobin Igor Valerievich,07.09.1968,male,"Head of the Directorate of the Federal Security Service of Russia for the Rostov Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Гольдштейн Ростислав Эрнстович,Goldstein Rostislav Ernstovich ,15.03.1969,male,"Governor of the Jewish Autonomous Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Supreme Council and Secretary if the Jewish Autonomous Oblast Regional Branch of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors

“United Russia” party Functionaries 
Federal and regional party leaders"
Голиков Антон Вячеславович ,Golikov Anton Vyacheslavovich ,,male,"Head of the LLC ""K-TELECOM"" (Win Mobile). This Internet provider provided communication services on the territory of Ukraine during the Russian occupation","Organizers of political repressions
Internet censors"
Голиков Олег Александрович,Golikov Oleg Alexandrovich,21.10.1968,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Голикова Татьяна Алексеевна,Golikova Tatiana Alexeyevna,09.02.1966,female,"Deputy Prime Minister of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees

Individuals involved in corruption
Investigations subjects"
Голицын Евгений Викторович,Golitsyn Evgeny Viktorovich,26.05.1970,male,Chairman of the Election Commission of the Chelyabinsk Oblast. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Голлоев Игорь Дмитриевич,Golloev Igor Dmitrievich,20.09.1965,male,"Commander of the Eastern District of the National Guard Troops of the Russian Federation. Heads special military units in the territory under his jurisdiction, which carried out the dispersal of peaceful protests against the Russian invasion of Ukraine and the political regime in Russia.","Key ‘siloviki’ (security forces) figure
National Guard of Russia"
Голод Екатерина Валентиновна,Golod Ekaterina Valentinovna,,Female,"Director and Editor-in-Chief of the newspaper ""Volgogradskaia pravda"" (owned by the government of the Volgograd region)","Propagandists
Regional press"
Голодец Ольга Юрьевна,Golodets Olga Yurievna,01.06.1962,female,Member and Deputy Chairman of the Management Board of  PJSC Sberbank,Top Management of State Owned Companies
Голомбиевский Андрей Дмитриевич,Golombievskiy Andrey Dmitrievich,19.05.1970,male,Head of the Main Investigation Directorate of the Investigative Committee of the Russian Federation for the city of St. Petersburg. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Голощапов Константин Валентинович,Goloshchapov Konstantin Valentinovich,15.11.1954,male,"He was a masseur at the same judo club from which the whole gang of thieves: the Rotenbergs, etc. Has a villa in Croatia.","Individuals involved in corruption
Investigations subjects"
Голота Валерий Иванович,Golota Valery Ivanovich,21.09.1967,male,"Head of the Directorate of the Federal Service of the National Guard Troops in the Republic of North Ossetia-Alania. Heads special military units in the territory under his jurisdiction, which carried out the dispersal of peaceful protests against the Russian invasion of Ukraine and the political regime in Russia.","Key ‘siloviki’ (security forces) figure
National Guard of Russia"
Головачев Виталий Юрьевич,Golovachev Vitaly Yurievich,21.07.1956,male,"The nominal owner of two key funds. Little is known about him: he is a former journalist, an employee of subsidiaries of the Dar Foundation, and is related to Gazprombank. Golovachev is entrusted with the daily management of Medvedev's assets.","Individuals involved in corruption
Investigations subjects"
Головачёв Владимир Анатольевич,Golovachev Vladimir Anatolievich,22.06.1967,male,Official of the Ministry of Defense of the Russian Federation. Head of the Department of Troops and Security of the Military Service of the Ministry of Defense of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,"War Arrangers
Military staff and accomplices of Russian occupation"
Голованов Роман Алексеевич,Golovanov Roman Alexeevich (Alexeyevich) (Alekseyevich),26.08.1994,male,Russian propagandist: presenter and host on TV channel Spas; poltical correspondent for newspaper Komsomolskaya Pravda; presenter and host at Komsomolskaya Pravda radio,"Propagandists
Federal media employees"
ГОЛОВАШКИНА НАТАЛЬЯ ВЯЧЕСЛАВОВНА,GOLOVASHKINA NATALIA VYACHESLAVOVNA,-,Female,"
General Director, LIMITED LIABILITY COMPANY ""TV RADIO COMPANY ""NIKA"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Головин Дмитрий Алексеевич,Golovin Dmitry Alekseevich,03.11.1994,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Головин Дмитрий Аркадьевич,Golovin Dmitry Arkadievich,28.08.1979,Male,"Head of the Department of City Video Surveillance in the Department of Information Technologies of the Government of Moscow. Responsible for the implementation and maintenance of the face recognition system in Moscow, which is used for political repression.","Organizers of political repressions
Internet censors"
Головин Руслан Сергеевич,Golovin Ruslan Sergeevich,03.01.1976,male,Chairman of the Election Commission of the Amur Oblast. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Головизнин К. А.,Goloviznin K. A.,,male,Deputy Perovsky Interdistrict Prosecutor of Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Головкин Денис Валерьевич,Golovkin Denis Valerievich,27.09.1981,male,Head of the Investigation Directorate of the Investigative Committee of the Russian Federation for the Perm Krai. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Головкин Владимир Николаевич,Golovkin Vladimir Nikolaevich,–,male,"Journalist, head of the press service of the International Slavic Art Forum ""Zolotoy Vityaz"". Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Головко Александр Валентинович,Golovko Alexander Valentinovich,29.01.1964,male,Official of the Ministry of Defense of the Russian Federation. Commander of the Space Forces - Deputy Commander-in-Chief of the Aerospace Forces. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine. Heads large divisions of the Russian armed forces.,"War Arrangers
Military staff and accomplices of Russian occupation"
Головко В.В. ,Golovko V.V.,–,male,"Circus artist, People's Artist of Russia. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Голубев Александр,Golubev Alexander,09.02.1978,male,"Propagandist, news anchor on TV Center channel","Propagandists
Federal media"
Голубев Сергей Анатольевич,Golubev Sergey Anatolievich,14.08.1961,male,Chairman of the Legislative Assembly of the Tver Oblast (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
Голубев Валерий Александрович,Golubev Valery Alexandrovich,14.06.1952,male,"Deputy Chairman of the Gazprom Management Committee (from November 2006 to February 2019). At the beginning of his career, he served in the Leningrad KGB. And then in the secretariat of the mayor's office in St. Petersburg. Knew Putin from his service in the KGB.","Individuals involved in corruption
Investigations subjects"
Голубев Валерий Александрович ,Golubev Valery Alexandrovich,14.06.1952,male,Involved in corruption in PJSC Gazprom and subsidiaries. Participated in the formation of corrupt sources of income for Vladimir Putin and his closest associates.,"Individuals involved in corruption
Investigations subjects"
Голубев Василий Юрьевич,Golubev Vasily Yuryevich ,30.01.1957,male,"Governor of Rostov Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Member of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors

“United Russia” party Functionaries 
Federal and regional party leaders"
Голубев Вячеслав Валерьевич,Golubev Vyacheslav Valeryevich,25.05.1995,male,Son of Golubev Valery Alexandrovich who is the Deputy Chairman of the Gazprom Management Committee (from November 2006 to February 2019). On his name was registered real estate by his father.,"Individuals involved in corruption
Investigations subjects"
Голубева Людмила Николаевна ,Golubeva Liudmila Nikolaevna,,Female,"Editor-in-Chief of the newspaper ""Arkhangelsk"" (owned by the Government of the Arkhangelsk region)","Propagandists
Regional press"
Голубева Ольга Валерьевна,Golubeva Olga Valeryevna,18.11.1976,female,Daughter of Golubev Valery Alexandrovich who is the Deputy Chairman of the Gazprom Management Committee (from November 2006 to February 2019). The real estate by her father was registered in his name.,"Individuals involved in corruption
Investigations subjects"
Голухова (Панина) Оксана Валентиновна,Golukhov (Panina) Oksana Valentinovna,15.12.1968,female,Wife of Golukhov Georgy Natanovich who is the Head of the Department of Healthcare of the City of Moscow (2012 - 2014). She lives in Switzerland and owns real estate.,"Individuals involved in corruption
Investigations subjects"
Голухов Антон Георгиевич,Golukhov Anton Georgievich,12.12.1988,male,Son of of Golukhov Georgy Natanovich who is the Head of the Department of Healthcare of the City of Moscow (2012 - 2014).,"Individuals involved in corruption
Investigations subjects"
Голухов Георгий Натанович,Golukhov Georgy Natanovich,24.06.1960,male,"Head of the Department of Healthcare of the City of Moscow (2012 - 2014). An associate of Sergei Sobyanin. Putin's confidant in the election of 2012. Since 2014, a citizen of Switzerland. Illegal enrichment.","Individuals involved in corruption
Investigations subjects"
Голухов Михаил Георгиевич,Golukhov Mikhail Georgievich,02.07.1992,male,Son of of Golukhov Georgy Natanovich who is the Head of the Department of Healthcare of the City of Moscow (2012 - 2014). He studied at an expensive Swiss university.,"Individuals involved in corruption
Investigations subjects"
Голухов Натан Иосифович,Golukhov Nathan Yosiphovich,31.08.1932,male,Father of Golukhov Georgy Natanovich who is the Head of the Department of Healthcare of the City of Moscow (2012 - 2014). Living in Switzerland.,"Individuals involved in corruption
Investigations subjects"
Голухова Евгения Моисеевна,Golukhova Evgenia Moiseevna,15.05.1934,female,Mother of Golukhov Georgy Natanovich who is the Head of the Department of Healthcare of the City of Moscow (2012 - 2014). Lives in Switzerland.,"Individuals involved in corruption
Investigations subjects"
Голядкина Марина Сергеевна,Golyadkina Marina Sergeevna,13.06.1997,female,"Actively supports Vladimir Putin's policy, which threatens the territorial integrity, sovereignty and independence of Ukraine.","Warmongers
Athletes"
Голыгина Татьяна Борисовна,Golygina Tatyana Borisovna,,male,"Deputy Governor of Vologda Oblast . Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Гончаренко Андрей Николаевич,Goncharenko Andrey Nikolayevich,27.12.1965,male,"Russian billionaire businessman, former CEO of a Gazprom subsidiary Gazprom Invest Yug. Was involved in and is a beneficiary of corruption schemes of PJSC Gazprom and its subsidiaries.",Individuals involved in corruption Investigations subjects
Гончаренко Иван Максимович,Goncharenko Ivan Maksimovich,08.07.1947,male,"Member of the Board of JSC ""Shipbuilding and Shiprepair Technology Center""",Top Management of State Owned Companies
Гончарик М. И.,Goncharik M.I.,,male,Deputy Perovsky Interdistrict Prosecutor of Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гончаров Николай Александрович,Goncharov Nikolai Alexandrovich,04.07.1979,male,Chairman of the Electoral Commission of the Chukotka Autonomous Okrug. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Гончаров  Николай Александрович,Goncharov Nikolay Alexandrovich,13.01.1984,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Гончаров Олег Александрович,Goncharov Oleg Alexandrovich,,male,Judge of the Oktyabrsky District Court of Krasnodar. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Гончаров Виктор Георгиевич,Goncharov Viktor Georgievich,04.02.1961,male,"First Deputy Governor of Rostov Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Кон Ен Хва,Gong Yong-hwa,13.09.1949,male,Chairman of the Legislative Assembly of the Zabaykalsky Krai (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
Горбань Владимир Васильевич,Gorban Vladimir Vasilievich,,male,Judge of the Krasnodar Regional Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Горбатько Александр Владимирович,Gorbatko Alexander Vladimirovich,08.01.1972,Male,"Official of the Department of Information Technologies of the Government of Moscow. Responsible for the implementation and maintenance of the face recognition system in Moscow, which is used for political repression.","Organizers of political repressions
Internet censors"
Горбенко Александр Николаевич,Gorbenko Alexander Nikolaevich,11.05.1962,male,"The deputy mayor of Moscow has worked for Sobyanin since his first days in office and is in charge of regional security and information policy. In order to hide his assets, he used the pseudonym Ivan Ivanovich Fedorov.","Individuals involved in corruption
Investigations subjects

Key Local Government Officials 
Vice-Governors"
Горбенко Ирина Николаевна,Gorbenko Irina Nikolaevna,31.05.1962,female,Wife of of Gorbenko Alexander Nikolaevich The Deputy Mayor of Moscow. Real estate by her husband was registered to her.,"Individuals involved in corruption
Investigations subjects"
Горбенко Николай Александрович,Gorbenko Nikolay Alexandrovich,09.06.1985,male,Son of of Gorbenko Alexander Nikolaevich The Deputy Mayor of Moscow. Real estate by his father was registered in his name.,"Individuals involved in corruption
Investigations subjects"
Горбунов Александр Павлович,Gorbunov Alexander Pavlovich,21.10.1959,male,Rector of the Pyatigorsk State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Горбунов Анатолий Валентинович,Gorbunov Anatoly Valentinovich,18.01.1984,male,"Son of Gorbunov Valentin Pavlovich who is a Former chairman of the Moscow City Election Commission. He is the founder of the Croatian company, through which he owned the real estate.","Individuals involved in corruption
Investigations subjects"
Горбунов Андрей Алексеевич,Gorbunov Andrey Alekseevich,24.03.1969,male,"Head of the Directorate of the Federal Service of the National Guard Troops of the Russian Federation for the Arkhangelsk Oblast. Heads special military units in the territory under his jurisdiction, which carried out the dispersal of peaceful protests against the Russian invasion of Ukraine and the political regime in Russia.","Key ‘siloviki’ (security forces) figure
National Guard of Russia"
Горбунов Сергей Владимирович,Gorbunov Sergey Vladimirovich,25.08.1966,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
